facility_id,facility_name,region,district,latitude,longitude,facility_type,specialties,equipment,procedures,staff_notes,last_updated
F001,Korle Bu Teaching Hospital,Greater Accra,Accra Metro,5.5487,-0.2176,Teaching Hospital,"Cardiology, Neurosurgery, Oncology, Pediatrics, Emergency Medicine","MRI Scanner, CT Scanner, X-Ray, Ultrasound, Cardiac Catheterization Lab, ICU Ventilators","Open heart surgery, Brain tumor resection, Chemotherapy administration, Neonatal intensive care","We have 3 cardiologists on staff and can handle complex cardiac cases. Our neurosurgery unit is equipped with latest imaging technology. Currently short on anesthesiologists.",2024-01-15
F002,Komfo Anokye Teaching Hospital,Ashanti,Kumasi Metro,6.6885,-1.6244,Teaching Hospital,"General Surgery, Orthopedics, Obstetrics, Internal Medicine","CT Scanner, X-Ray, Ultrasound, Operating Theaters (5), Blood Bank","Cesarean sections, Orthopedic surgery, Appendectomy, Trauma care","Main referral hospital for Northern sector. We conduct approximately 50 major surgeries weekly. Need more orthopedic surgeons.",2024-01-18
F003,Tamale Teaching Hospital,Northern,Tamale Metro,9.4075,-0.8533,Teaching Hospital,"Internal Medicine, Pediatrics, General Surgery, Obstetrics","X-Ray, Ultrasound, Basic Lab Equipment, Operating Theaters (3)","General surgery, Normal deliveries, Basic trauma care","Limited specialist staff. No neurosurgeon available. CT scanner broke down 6 months ago and awaiting replacement. Struggling with maternal mortality.",2024-01-10
F004,Cape Coast Teaching Hospital,Central,Cape Coast Metro,5.1053,-1.2466,Teaching Hospital,"General Medicine, Surgery, Pediatrics","X-Ray, Ultrasound, Operating Theaters (2), Basic ICU","Minor surgeries, Child immunization, Maternity services","Small facility serving coastal region. We have visiting specialists from Accra twice monthly. No oncology services.",2024-02-01
F005,Ho Teaching Hospital,Volta,Ho Municipal,6.6108,0.4710,Regional Hospital,"General Medicine, Pediatrics, Obstetrics","X-Ray, Ultrasound, Laboratory","Outpatient care, Basic surgeries, Maternity","Recently upgraded from municipal to teaching hospital status. Building new wing for surgical unit. Currently no ICU.",2023-12-20
F006,Bolgatanga Regional Hospital,Upper East,Bolgatanga Municipal,10.7856,-0.8514,Regional Hospital,"General Medicine, Emergency Care","X-Ray, Basic Lab, Ambulance Services","Emergency stabilization, Outpatient consultation, Minor procedures","Remote location makes specialist recruitment very difficult. No surgeon on permanent staff. Most serious cases referred to Tamale (150km away).",2024-01-05
F007,Sunyani Regional Hospital,Bono,Sunyani Municipal,7.3394,-2.3265,Regional Hospital,"General Medicine, Pediatrics, Surgery, Dentistry","X-Ray, Ultrasound, Dental Unit, Operating Theater","General surgery, Dental procedures, Childbirth","Good facility but understaffed. 1 general surgeon for entire region. No CT or MRI. Dental services very popular.",2024-01-22
F008,Wa Regional Hospital,Upper West,Wa Municipal,10.0601,-2.5095,Regional Hospital,"General Medicine, Pediatrics, Obstetrics","X-Ray, Ultrasound, Laboratory, Maternity Ward","Normal deliveries, Pediatric care, Outpatient services","Very limited resources. Power outages common affecting equipment. No specialist services available within 200km radius.",2024-01-08
F009,Koforidua Regional Hospital,Eastern,New Juaben Municipal,6.0833,-0.2500,Regional Hospital,"General Medicine, Surgery, Obstetrics, Ophthalmology","X-Ray, Ultrasound, Operating Theaters (2), Eye Clinic","Cataract surgery, General surgery, Childbirth, Eye care","Eye clinic is well equipped and serves wide area. General surgery capability limited. Need vascular surgeon.",2024-02-03
F010,Sekondi Government Hospital,Western,Sekondi-Takoradi Metro,4.9344,-1.7119,District Hospital,"General Medicine, Emergency Care, Pediatrics","X-Ray, Laboratory, Emergency Room","Emergency care, Basic diagnostics, Child vaccinations","Coastal industrial area hospital. Handle many accident cases from harbor. No surgical capability for major trauma.",2024-01-28
